Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
RCD Mallorca,Francisco Farinós,27,Spain,Defensive Midfield,DM,£1.80m,FC Internazionale,Italy,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/francisco-farinos/profil/spieler/5785
RCD Mallorca,Fernando Navarro,23,Spain,Left-Back,LB,£2.25m,FC Barcelona,Spain,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/fernando-navarro/profil/spieler/7593
RCD Mallorca,Toni Prats,33,Spain,Goalkeeper,GK,£1.13m,Real Betis Balompié,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/toni-prats/profil/spieler/7644
RCD Mallorca,Lampros Choutos,25,Greece,Centre-Forward,CF,£2.25m,FC Internazionale,Italy,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/lampros-choutos/profil/spieler/9682
RCD Mallorca,Yoshito Okubo,23,Japan,Centre-Forward,CF,£1.35m,Cerezo Osaka,Japan,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/yoshito-okubo/profil/spieler/27439
RCD Mallorca,Eduardo Tuzzio,30,Argentina,Centre-Back,CB,£2.25m,Club Atlético River Plate,Argentina,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/eduardo-tuzzio/profil/spieler/5318
RCD Mallorca,Adrián Peralta,23,Argentina,Left Midfield,LM,-,Instituto AC Córdoba,Argentina,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/adrian-peralta/profil/spieler/35521
RCD Mallorca,Alessandro Potenza,21,Italy,Centre-Back,CB,£2.70m,FC Internazionale,Italy,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/alessandro-potenza/profil/spieler/16828
RCD Mallorca,Francisco Diego Maciel,27,Argentina,Right-Back,RB,£45Th.,Real Murcia CF,Spain,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/francisco-diego-maciel/profil/spieler/7993
RCD Mallorca,Cristiano Doni,32,Italy,Attacking Midfield,AM,£1.80m,UC Sampdoria,Italy,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/cristiano-doni/profil/spieler/6195
